시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
경기도,평택시,신축허가,신축,1,0,공동주택,다세대주택,645,319.62,49.55,947.46,627.84,97.3395,공동주택,다세대주택,4,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,319.62,947.46,627.84,1,4,15.5,1,0,건축사사무소예가,허가
경상남도,사천시,증축허가,증축,4,1,동.식물관련시설,축사,"9,310","2,730.59",29.3296,"2,864.10","2,864.10",30.7637,단독주택,단독주택,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,0,0,0,0,1,4,0,0,으뜸건축사사무소,허가
경기도,용인시 기흥구,신축허가,신축,57,2,노유자시설,노인복지주택,"25,858","5,104.55",19.74,"6,224.30","6,031.23",23.32,노유자시설,노인복지시설,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,73.75,73.75,73.75,0,1,4.5,0,0,화창건축사사무소(주),허가
경기도,의왕시,개발제한구역내 건축허가,대수선,1,0,발전시설,단독주택,"4,405",675,15.323,675,675,15.323,발전시설,발전소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,0,0,0,0,1,4.65,0,0,리앤에이토탈디자인건축사사무소,허가
강원도,홍천군,신축신고,신축,1,0,단독주택,단독주택,200,28,14,28,28,14,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,28,28,28,0,1,3.9,0,0,최정렬 건축사사무소,허가
경상북도,울진군,증축허가,증축,1,1,동.식물관련시설,축사,"2,695",976.12,36.2197,976.12,976.12,36.2197,동.식물관련시설,축사,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,319.24,348.18,348.18,0,1,5.95,0,0,이기오 건축사사무소,허가
강원도,강릉시,신축신고,신축,1,0,단독주택,단독주택,688,75.01,10.9026,96.46,96.46,14.0203,단독주택,단독주택,1,0,0,일반목구조,철근콘크리트구조,기타지붕,75.01,96.46,96.46,0,2,7.25,0,0,명진 건축사사무소,허가
경상남도,거제시,용도변경허가,용도변경,1,0,제2종근린생활시설,사무소,387,84.09,21.73,84.09,84.09,21.73,제2종근린생활시설,사무소,0,0,0,벽돌구조,벽돌,슬레이트,84.09,84.09,84.09,0,1,3,0,0,건축사사무소 현디자인,허가
강원도,정선군,신축신고,신축,2,0,단독주택,단독주택,272,61.62,22.65,61.62,61.62,22.65,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,30.81,30.81,30.81,0,1,4.95,0,0,민건축사사무소,허가
경상북도,경주시,용도변경허가,용도변경,1,0,제2종근린생활시설,단독주택,257,82.63,32.1518,82.63,82.63,32.1518,제2종근린생활시설,일반음식점,0,0,0,철근콘크리트구조,"철근콘크리트, 벽돌",(철근)콘크리트,82.63,82.63,82.63,0,1,3.5,0,0,건축사사무소 남산,허가
부산광역시,수영구,증축허가,증축,2,0,제2종근린생활시설,제1종근린생활시설,568.1,212,37.32,244.79,244.79,43.09,제1종근린생활시설,소매점,0,0,0,벽돌구조,벽돌구조,(철근)콘크리트,-9.88,-9.88,-9.88,0,1,2.9,0,0,아키21건축사사무소,허가
경기도,용인시 수지구,신축허가,신축,1,1,단독주택,단독주택,407,81.08,19.92,193.67,141.02,34.65,단독주택,단독주택,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,0,52.65,0,1,0,3,0,0,길건축사사무소,허가
경기도,이천시,신축신고,신축,1,0,단독주택,단독주택,547,88.2,16.12,71.1,71.1,13,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,88.2,71.1,71.1,0,1,3.8,0,0,김학식 건축사사무소,허가
경기도,화성시,신축허가,신축,1,0,단독주택,다가구주택 및 근린생활시설,255,149.8,58.75,457.8,457.8,179.53,단독주택,다가구주택,0,0,5,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,149.8,457.8,457.8,0,4,16.85,1,0,주식회사 나린건축사사무소,허가
제주특별자치도,제주시,증축신고,증축,6,0,동.식물관련시설,단독주택,"3,731","1,827.30",48.9761,"1,827.30","1,827.30",48.9761,동.식물관련시설,기타동식물관련시설,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,360,360,360,0,1,4.12,0,0,예건건축사사무소,허가
